"ASIGNATURA_REFERENCIA","MATRICULA_CURSO_ACADEMICO","GRUPO_ID","INGLES","ASIGNACION_MANUAL","MATRICULA_EXPEDIENTES_NEXP"
"53110","20/21","","","",105600128
"53111","20/21","","","",105600128
"53112","20/21","","","",105600128
"53113","20/21","","","",105600128
"53114","20/21","","","",105600128
"53115","20/21","","","",105600128
"53116","20/21","","","",105600128
"53117","20/21","","","",105600128
"53118","20/21","","","",105600128
"50658","20/21","","","",104100129
"50659","20/21","","","",104100129
"50661","20/21","","","",104100129
"50662","20/21","","","",104100129
"50994","20/21","","","",104100129
"50995","20/21","II2D","","",104100129
"50996","20/21","","","",104100129
"50997","20/21","","","",104100129
"50998","20/21","","","",104100129
"50999","20/21","","","",104100129
"51000","20/21","","","",104100129
"51001","20/21","","","",104100129
"51002","20/21","","","",104100129
"51003","20/21","","","",104100129
"51198","20/21","","","",104200130
"50658","20/21","","","",104100131
"50659","20/21","","","",104100131
"50660","20/21","","","",104100131
"50661","20/21","","","",104100131
"50662","20/21","","","",104100131
"50663","20/21","","","",104100131
"50664","20/21","","","",104100131
"50665","20/21","","","",104100131
"50666","20/21","","","",104100131
"50667","20/21","","","",104100131
"51673","20/21","","","",104300132
"51674","20/21","","","",104300132
"51676","20/21","","","",104300132
"51678","20/21","","","",104300132
"51679","20/21","","","",104300132
"51681","20/21","","","",104300132
"51690","20/21","","","",104300132
"51047","20/21","","","",104300132
"51021","20/21","","","",104300132
"51039","20/21","","","",104300132
"51150","20/21","","","",104200133
"51155","20/21","","","",104200133
"51157","20/21","","","",104200133
"51160","20/21","","","",104200133
"51161","20/21","","","",104200133
"51162","20/21","","","",104200133
"51166","20/21","","","",104200133
"51169","20/21","","","",104200133
"51175","20/21","","","",104200133
"50994","20/21","","","",104100134
"50995","20/21","II2A","","",104100134
"50996","20/21","","","",104100134
"50997","20/21","","","",104100134
"50998","20/21","","","",104100134
"50999","20/21","","","",104100134
"51000","20/21","","","",104100134
"51001","20/21","","","",104100134
"51002","20/21","","","",104100134
"51003","20/21","","","",104100134
"51138","20/21","","","",104200083
"51139","20/21","","","",104200083
"51140","20/21","","","",104200083
"51141","20/21","","","",104200083
"51142","20/21","","","",104200083
"51143","20/21","","","",104200083
"51144","20/21","","","",104200083
"51145","20/21","","","",104200083
"51146","20/21","","","",104200083
"51147","20/21","","","",104200083
"51676","20/21","","","",104300084
"51679","20/21","","","",104300084
"51681","20/21","","","",104300084
"51685","20/21","","","",104300084
"51686","20/21","","","",104300084
"51687","20/21","","","",104300084
"51688","20/21","","","",104300084
"51691","20/21","","","",104300084
"53013","20/21","","","",105600085
"53109","20/21","","","",105600085
"53110","20/21","","","",105600085
"53111","20/21","","","",105600085
"53112","20/21","","","",105600085
"53113","20/21","","","",105600085
"53114","20/21","","","",105600085
"53115","20/21","","","",105600085
"53116","20/21","","","",105600085
"53118","20/21","","","",105600085
"51195","20/21","","","",104200086
"51180","20/21","","","",104200086
"51181","20/21","","","",104200086
"51182","20/21","","","",104200086
"51186","20/21","","","",104200086
"51198","20/21","","","",104200086
"51019","20/21","","","",104200086
"51056","20/21","","","",104200086
"53011","20/21","","","",105600087
"53012","20/21","","","",105600087
"53017","20/21","","","",105600087
"53110","20/21","","","",105600087
"53111","20/21","","","",105600087
"53112","20/21","","","",105600087
"53114","20/21","","","",105600087
"53115","20/21","","","",105600087
"53116","20/21","","","",105600087
"53117","20/21","","","",105600087
"51186","20/21","","","",104200088
"51198","20/21","","","",104200088
"51023","20/21","","","",104200088
"50994","20/21","","","",104100089
"50997","20/21","","","",104100089
"51007","20/21","","","",104100089
"51009","20/21","","","",104100089
"51011","20/21","","","",104100089
"51015","20/21","","","",104100089
"51025","20/21","","","",104100089
"51024","20/21","","","",104100089
"51016","20/21","","","",104100089
"51040","20/21","","","",104100089
"51195","20/21","","","",104200090
"51180","20/21","","","",104200090
"51181","20/21","","","",104200090
"51182","20/21","","","",104200090
"51186","20/21","","","",104200090
"51002","20/21","","","",104100043
"51007","20/21","","","",104100043
"51009","20/21","","","",104100043
"51011","20/21","","","",104100043
"51015","20/21","","","",104100043
"51025","20/21","","","",104100043
"51008","20/21","","","",104100043
"51016","20/21","","","",104100043
"51014","20/21","","","",104100043
"51030","20/21","","","",104100043
"50667","20/21","","","",104100044
"50995","20/21","II2D","","",104100044
"50996","20/21","","","",104100044
"50997","20/21","","","",104100044
"50999","20/21","","","",104100044
"51000","20/21","","","",104100044
"51001","20/21","","","",104100044
"51002","20/21","","","",104100044
"51009","20/21","","","",104100044
"51011","20/21","","","",104100044
"51677","20/21","","","",104300045
"51678","20/21","","","",104300045
"51682","20/21","","","",104300045
"51689","20/21","","","",104300045
"51690","20/21","","","",104300045
"51709","20/21","","","",104300045
"51718","20/21","","","",104300045
"51720","20/21","","","",104300045
"51722","20/21","","","",104300045
"51725","20/21","","","",104300045
"51047","20/21","","","",104300045
"51730","20/21","","","",104300045
"51148","20/21","","","",104200046
"51149","20/21","","","",104200046
"51150","20/21","","","",104200046
"51151","20/21","","","",104200046
"51152","20/21","","","",104200046
"51153","20/21","","","",104200046
"51154","20/21","","","",104200046
"51155","20/21","","","",104200046
"51156","20/21","","","",104200046
"51157","20/21","","","",104200046
"50658","20/21","","","",104100047
"50660","20/21","","","",104100047
"50661","20/21","","","",104100047
"50662","20/21","","","",104100047
"50663","20/21","","","",104100047
"50664","20/21","","","",104100047
"50666","20/21","","","",104100047
"51002","20/21","","","",104100047
"50658","20/21","","","",104100048
"50659","20/21","","","",104100048
"50660","20/21","","","",104100048
"50661","20/21","","","",104100048
"50662","20/21","","","",104100048
"50663","20/21","","","",104100048
"50664","20/21","","","",104100048
"50666","20/21","","","",104100048
"50999","20/21","","","",104100048
"51003","20/21","","","",104100048
"50994","20/21","","","",104100049
"50997","20/21","","","",104100049
"51000","20/21","","","",104100049
"51055","20/21","","","",104100049
"51027","20/21","","","",104100049
"51034","20/21","","","",104100049
"51037","20/21","","","",104100049
"51030","20/21","","","",104100049
"51058","20/21","","","",104100049
"51008","20/21","","","",104100050
"51055","20/21","","","",104100050
"51029","20/21","","","",104100050
"51036","20/21","","","",104100050
"51041","20/21","","","",104100050
"51046","20/21","","","",104100050
"51059","20/21","","","",104100050
"51031","20/21","","","",104100050
"51019","20/21","","","",104100050
"51056","20/21","","","",104100050
"51040","20/21","","","",104100050
"51023","20/21","","","",104100050
"53011","20/21","","","",105600051
"53161","20/21","","","",105600051
"53162","20/21","","","",105600051
"53163","20/21","","","",105600051
"53164","20/21","","","",105600051
"53165","20/21","","","",105600051
"53210","20/21","","","",105600051
"53218","20/21","","","",105600051
"53220","20/21","","","",105600051
"53222","20/21","","","",105600051
"53223","20/21","","","",105600051
"53226","20/21","","","",105600051
"50658","20/21","","","",104100052
"50994","20/21","","","",104100052
"50995","20/21","","","",104100052
"50996","20/21","","","",104100052
"50997","20/21","","","",104100052
"50998","20/21","","","",104100052
"50999","20/21","","","",104100052
"51000","20/21","","","",104100052
"51001","20/21","","","",104100052
"51002","20/21","","","",104100052
"51003","20/21","","","",104100052
"51143","20/21","","","",104200053
"51148","20/21","","","",104200053
"51149","20/21","","","",104200053
"51150","20/21","","","",104200053
"51151","20/21","","","",104200053
"51152","20/21","","","",104200053
"51153","20/21","","","",104200053
"51154","20/21","","","",104200053
"51155","20/21","","","",104200053
"51157","20/21","","","",104200053
"51148","20/21","","","",104200054
"51149","20/21","","","",104200054
"51150","20/21","","","",104200054
"51151","20/21","","","",104200054
"51152","20/21","","","",104200054
"51153","20/21","","","",104200054
"51154","20/21","","","",104200054
"51155","20/21","","","",104200054
"51156","20/21","","","",104200054
"51157","20/21","","","",104200054
"53113","20/21","","","",105600323
"53212","20/21","","","",105600323
"53213","20/21","","","",105600323
"53221","20/21","","","",105600323
"53296","20/21","","","",105600323
"53304","20/21","","","",105600323
"53426","20/21","","","",105600323
"50662","20/21","","","",104100324
"51029","20/21","","","",104100324
"51036","20/21","","","",104100324
"51041","20/21","","","",104100324
"51046","20/21","","","",104100324
"53010","20/21","","","",105600325
"53012","20/21","","","",105600325
"53015","20/21","","","",105600325
"53017","20/21","","","",105600325
"53109","20/21","","","",105600325
"53110","20/21","","","",105600325
"53111","20/21","","","",105600325
"53112","20/21","","","",105600325
"53115","20/21","","","",105600325
"53118","20/21","","","",105600325
"51139","20/21","","","",104200326
"51143","20/21","","","",104200326
"51160","20/21","","","",104200326
"51161","20/21","","","",104200326
"51162","20/21","","","",104200326
"51166","20/21","","","",104200326
"51169","20/21","","","",104200326
"51171","20/21","","","",104200326
"51174","20/21","","","",104200326
"51175","20/21","","","",104200326
"51018","20/21","","","",104200326
"51020","20/21","","","",104200326
"53111","20/21","","","",105600327
"53296","20/21","","","",105600327
"53286","20/21","","","",105600327
"51034","20/21","","","",105600327
"53304","20/21","","","",105600327
"53418","20/21","","","",105600327
"50658","20/21","","","",104100328
"50664","20/21","","","",104100328
"50997","20/21","","","",104100328
"51009","20/21","","","",104100328
"51059","20/21","","","",104100328
"53009","20/21","","","",105600329
"53010","20/21","","","",105600329
"53011","20/21","","","",105600329
"53017","20/21","","","",105600329
"53109","20/21","","","",105600329
"53110","20/21","","","",105600329
"53111","20/21","","","",105600329
"53112","20/21","","","",105600329
"53114","20/21","","","",105600329
"53115","20/21","","","",105600329
"53116","20/21","","","",105600329
"53117","20/21","","","",105600329
"53113","20/21","","","",105600330
"50997","20/21","","","",104100331
"51007","20/21","","","",104100331
"51009","20/21","","","",104100331
"51011","20/21","","","",104100331
"51015","20/21","","","",104100331
"51025","20/21","","","",104100331
"51024","20/21","","","",104100331
"51005","20/21","","","",104100331
"51022","20/21","","","",104100331
"51006","20/21","","","",104100331
"51040","20/21","","","",104100331
"51138","20/21","","","",104200332
"51139","20/21","","","",104200332
"51140","20/21","","","",104200332
"51141","20/21","","","",104200332
"51142","20/21","","","",104200332
"51143","20/21","","","",104200332
"51144","20/21","","","",104200332
"51145","20/21","","","",104200332
"51146","20/21","","","",104200332
"51147","20/21","","","",104200332
"50658","20/21","","","",104100333
"50663","20/21","","","",104100333
"51007","20/21","","","",104100333
"51009","20/21","","","",104100333
"51011","20/21","","","",104100333
"51015","20/21","","","",104100333
"51025","20/21","","","",104100333
"51024","20/21","","","",104100333
"51008","20/21","","","",104100333
"51016","20/21","","","",104100333
"51006","20/21","","","",104100333
"51049","20/21","","","",104100333
"51138","20/21","","","",104200334
"51144","20/21","","","",104200334
"51152","20/21","","","",104200334
"51195","20/21","","","",104200334
"51180","20/21","","","",104200334
"51181","20/21","","","",104200334
"51182","20/21","","","",104200334
"51186","20/21","","","",104200334
"51138","20/21","","","",104200335
"51139","20/21","","","",104200335
"51140","20/21","","","",104200335
"51141","20/21","","","",104200335
"51142","20/21","","","",104200335
"51143","20/21","","","",104200335
"51144","20/21","","","",104200335
"51145","20/21","","","",104200335
"51146","20/21","","","",104200335
"51147","20/21","","","",104200335
"53211","20/21","","","",105600336
"53212","20/21","","","",105600336
"53213","20/21","","","",105600336
"53214","20/21","","","",105600336
"53283","20/21","","","",105600336
"53286","20/21","","","",105600336
"53418","20/21","","","",105600336
"50659","20/21","","","",104100337
"51059","20/21","","","",104100337
"51685","20/21","","","",104300338
"51686","20/21","","","",104300338
"51687","20/21","","","",104300338
"51689","20/21","","","",104300338
"51690","20/21","","","",104300338
"51691","20/21","","","",104300338
"51692","20/21","","","",104300338
"51703","20/21","","","",104300338
"51708","20/21","","","",104300338
"51006","20/21","","","",104300338
"53113","20/21","","","",105600339
"53161","20/21","","","",105600339
"53162","20/21","","","",105600339
"53163","20/21","","","",105600339
"53164","20/21","","","",105600339
"53165","20/21","","","",105600339
"53210","20/21","","","",105600339
"53218","20/21","","","",105600339
"53220","20/21","","","",105600339
"53222","20/21","","","",105600339
"53223","20/21","","","",105600339
"53226","20/21","","","",105600339
"51007","20/21","","","",104100340
"51009","20/21","","","",104100340
"51011","20/21","","","",104100340
"51015","20/21","","","",104100340
"51025","20/21","","","",104100340
"53210","20/21","","","",105600092
"53218","20/21","","","",105600092
"51198","20/21","","","",104200090
"51031","20/21","","","",104200090
"51056","20/21","","","",104200090
"53113","20/21","","","",105600092
"53220","20/21","","","",105600092
"53222","20/21","","","",105600092
"53223","20/21","","","",105600092
"53226","20/21","","","",105600092
"53308","20/21","","","",105600092
"53412","20/21","","","",105600092
"53414","20/21","","","",105600092
"53415","20/21","","","",105600092
"53009","20/21","","","",105600093
"53011","20/21","","","",105600093
"53012","20/21","","","",105600093
"53015","20/21","","","",105600093
"53017","20/21","","","",105600093
"53110","20/21","","","",105600093
"53114","20/21","","","",105600093
"53115","20/21","","","",105600093
"53117","20/21","","","",105600093
"53109","20/21","","","",105600094
"53110","20/21","","","",105600094
"53111","20/21","","","",105600094
"53112","20/21","","","",105600094
"53115","20/21","","","",105600094
"53116","20/21","","","",105600094
"53118","20/21","","","",105600094
"53163","20/21","","","",105600094
"53213","20/21","","","",105600094
"53215","20/21","","","",105600094
"51673","20/21","","","",104300095
"51674","20/21","","","",104300095
"51675","20/21","","","",104300095
"51676","20/21","","","",104300095
"51677","20/21","","","",104300095
"51678","20/21","","","",104300095
"51679","20/21","","","",104300095
"51680","20/21","","","",104300095
"51681","20/21","","","",104300095
"51682","20/21","","","",104300095
"51007","20/21","","","",104100096
"51009","20/21","","","",104100096
"51005","20/21","","","",104100096
"51026","20/21","","","",104100096
"51020","20/21","","","",104100096
"51021","20/21","","","",104100096
"51056","20/21","","","",104100096
"50994","20/21","","","",104100097
"50995","20/21","","","",104100097
"50996","20/21","","","",104100097
"50997","20/21","","","",104100097
"50998","20/21","","","",104100097
"50999","20/21","","","",104100097
"51000","20/21","","","",104100097
"51001","20/21","","","",104100097
"51002","20/21","","","",104100097
"51003","20/21","","","",104100097
"53111","20/21","","","",105600098
"53112","20/21","","","",105600098
"53113","20/21","","","",105600098
"53116","20/21","","","",105600098
"53118","20/21","","","",105600098
"53162","20/21","","","",105600098
"53164","20/21","","","",105600098
"53165","20/21","","","",105600098
"53212","20/21","","","",105600098
"53213","20/21","","","",105600098
"53214","20/21","","","",105600098
"53221","20/21","","","",105600098
"53009","20/21","","","",105600099
"53013","20/21","","","",105600099
"53015","20/21","","","",105600099
"53110","20/21","","","",105600099
"53112","20/21","","","",105600099
"53113","20/21","","","",105600099
"53114","20/21","","","",105600099
"53117","20/21","","","",105600099
"51007","20/21","","","",104100100
"51009","20/21","","","",104100100
"51011","20/21","","","",104100100
"51015","20/21","","","",104100100
"51025","20/21","","","",104100100
"51024","20/21","","","",104100100
"51005","20/21","","","",104100100
"51022","20/21","","","",104100100
"51057","20/21","","","",104100100
"51040","20/21","","","",104100100
"53109","20/21","","","",105600101
"53113","20/21","","","",105600101
"53163","20/21","","","",105600101
"53164","20/21","","","",105600101
"53211","20/21","","","",105600101
"53212","20/21","","","",105600101
"53213","20/21","","","",105600101
"53214","20/21","","","",105600101
"53221","20/21","","","",105600101
"53417","20/21","","","",105600101
"53418","20/21","","","",105600101
"53424","20/21","","","",105600101
"51686","20/21","","","",104300102
"51687","20/21","","","",104300102
"51739","20/21","","","",104300102
"51191","20/21","","","",104300102
"51050","20/21","","","",104300102
"51678","20/21","","","",104300103
"51691","20/21","","","",104300103
"51718","20/21","","","",104300103
"51722","20/21","","","",104300103
"51725","20/21","","","",104300103
"51739","20/21","","","",104300103
"51057","20/21","","","",104300103
"53009","20/21","","","",105600104
"53011","20/21","","","",105600104
"53013","20/21","","","",105600104
"53112","20/21","","","",105600104
"53115","20/21","","","",105600104
"53213","20/21","","","",105600104
"53296","20/21","","","",105600104
"53286","20/21","","","",105600104
"53426","20/21","","","",105600104
"51195","20/21","","","",104200105
"51180","20/21","","","",104200105
"51181","20/21","","","",104200105
"51182","20/21","","","",104200105
"51186","20/21","","","",104200105
"51198","20/21","","","",104200105
"51190","20/21","","","",104200105
"51056","20/21","","","",104200105
"53017","20/21","","","",105600106
"53109","20/21","","","",105600106
"53115","20/21","","","",105600106
"53161","20/21","","","",105600106
"53162","20/21","","","",105600106
"53163","20/21","","","",105600106
"53164","20/21","","","",105600106
"53165","20/21","","","",105600106
"53211","20/21","","","",105600106
"53212","20/21","","","",105600106
"53213","20/21","","","",105600106
"53214","20/21","","","",105600106
"53215","20/21","","","",105600106
"53221","20/21","","","",105600106
"50658","20/21","","","",104100107
"50666","20/21","","","",104100107
"50994","20/21","","","",104100107
"50998","20/21","","","",104100107
"50999","20/21","","","",104100107
"51000","20/21","","","",104100107
"51007","20/21","","","",104100107
"51011","20/21","","","",104100107
"51015","20/21","","","",104100107
"51024","20/21","","","",104100107
"53008","20/21","","","",105600108
"53009","20/21","","","",105600108
"53010","20/21","","","",105600108
"53011","20/21","","","",105600108
"53012","20/21","","","",105600108
"53013","20/21","","","",105600108
"53014","20/21","","","",105600108
"53015","20/21","","","",105600108
"53114","20/21","","","",105600108
"53118","20/21","","","",105600108
"51154","20/21","","","",104200001
"51155","20/21","","","",104200001
"51171","20/21","","","",104200001
"51180","20/21","","","",104200001
"51181","20/21","","","",104200001
"51182","20/21","","","",104200001
"51186","20/21","","","",104200001
"51031","20/21","","","",104200001
"50658","20/21","","","",104100002
"50660","20/21","","","",104100002
"50662","20/21","","","",104100002
"50666","20/21","","","",104100002
"50667","20/21","","","",104100002
"50995","20/21","","","",104100002
"50997","20/21","","","",104100002
"50998","20/21","","","",104100002
"50999","20/21","","","",104100002
"51001","20/21","","","",104100002
"51002","20/21","","","",104100002
"53213","20/21","","","",105600003
"53296","20/21","","","",105600003
"53283","20/21","","","",105600003
"53286","20/21","","","",105600003
"53417","20/21","","","",105600003
"53418","20/21","","","",105600003
"53419","20/21","","","",105600003
"53420","20/21","","","",105600003
"53424","20/21","","","",105600003
"53425","20/21","","","",105600003
"53423","20/21","","","",105600003
"51138","20/21","","","",104200004
"51139","20/21","","","",104200004
"51140","20/21","","","",104200004
"51141","20/21","","","",104200004
"51142","20/21","","","",104200004
"51143","20/21","","","",104200004
"51144","20/21","","","",104200004
"51145","20/21","","","",104200004
"51146","20/21","","","",104200004
"51147","20/21","","","",104200004
"50658","20/21","","","",104100005
"50659","20/21","","","",104100005
"50662","20/21","","","",104100005
"50995","20/21","","","",104100005
"50998","20/21","","","",104100005
"50999","20/21","","","",104100005
"51000","20/21","","","",104100005
"51001","20/21","","","",104100005
"51002","20/21","","","",104100005
"51003","20/21","","","",104100005
"51160","20/21","","","",104200006
"51161","20/21","","","",104200006
"51162","20/21","","","",104200006
"51166","20/21","","","",104200006
"51169","20/21","","","",104200006
"51171","20/21","","","",104200006
"51174","20/21","","","",104200006
"51175","20/21","","","",104200006
"51026","20/21","","","",104200006
"51040","20/21","","","",104200006
"51009","20/21","","","",104100007
"51027","20/21","","","",104100007
"51032","20/21","","","",104100007
"51034","20/21","","","",104100007
"51037","20/21","","","",104100007
"51059","20/21","","","",104100007
"51056","20/21","","","",104100007
"51040","20/21","","","",104100007
"51160","20/21","","","",104200008
"51161","20/21","","","",104200008
"51162","20/21","","","",104200008
"51166","20/21","","","",104200008
"51169","20/21","","","",104200008
"51171","20/21","","","",104200008
"51174","20/21","","","",104200008
"51175","20/21","","","",104200008
"53113","20/21","","","",105600009
"53161","20/21","","","",105600009
"53162","20/21","","","",105600009
"53163","20/21","","","",105600009
"53164","20/21","","","",105600009
"53165","20/21","","","",105600009
"53211","20/21","","","",105600009
"53212","20/21","","","",105600009
"53213","20/21","","","",105600009
"53214","20/21","","","",105600009
"53215","20/21","","","",105600009
"53221","20/21","","","",105600009
"51138","20/21","","","",104200010
"51139","20/21","","","",104200010
"51147","20/21","","","",104200010
"51150","20/21","","","",104200010
"51152","20/21","","","",104200010
"51198","20/21","","","",104200010
"51191","20/21","","","",104200010
"50664","20/21","","","",104100011
"51025","20/21","","","",104100011
"51024","20/21","","","",104100011
"51027","20/21","","","",104100011
"51032","20/21","","","",104100011
"51034","20/21","","","",104100011
"51037","20/21","","","",104100011
"51006","20/21","","","",104100011
"51018","20/21","","","",104100011
"51683","20/21","","","",104300012
"51685","20/21","","","",104300012
"51686","20/21","","","",104300012
"51687","20/21","","","",104300012
"51690","20/21","","","",104300012
"51018","20/21","","","",104300012
"51049","20/21","","","",104300012
"51040","20/21","","","",104300012
"51058","20/21","","","",104300012
"51673","20/21","","","",104300013
"51674","20/21","","","",104300013
"51675","20/21","","","",104300013
"51030","20/21","","","",104100011
"51191","20/21","","","",104100011
"51058","20/21","","","",104100011
"51681","20/21","","","",104300012
"51676","20/21","","","",104300013
"51677","20/21","","","",104300013
"51678","20/21","","","",104300013
"51679","20/21","","","",104300013
"51680","20/21","","","",104300013
"51681","20/21","","","",104300013
"51682","20/21","","","",104300013
"53009","20/21","","","",105600014
"53011","20/21","","","",105600014
"53015","20/21","","","",105600014
"53017","20/21","","","",105600014
"53110","20/21","","","",105600014
"53111","20/21","","","",105600014
"53112","20/21","","","",105600014
"53114","20/21","","","",105600014
"53115","20/21","","","",105600014
"53116","20/21","","","",105600014
"53117","20/21","","","",105600014
"51055","20/21","","","",104100016
"51027","20/21","","","",104100016
"51032","20/21","","","",104100016
"51034","20/21","","","",104100016
"51037","20/21","","","",104100016
"51059","20/21","","","",104100016
"51031","20/21","","","",104100016
"51056","20/21","","","",104100016
"50658","20/21","","","",104100017
"50663","20/21","","","",104100017
"51009","20/21","","","",104100017
"51008","20/21","","","",104100017
"51029","20/21","","","",104100017
"51036","20/21","","","",104100017
"51041","20/21","","","",104100017
"51049","20/21","","","",104100017
"51021","20/21","","","",104100017
"51056","20/21","","","",104100017
"50658","20/21","","","",104100018
"51059","20/21","","","",104100018
"50658","20/21","","","",104100019
"50659","20/21","","","",104100019
"50660","20/21","","","",104100019
"50661","20/21","","","",104100019
"50662","20/21","","","",104100019
"50663","20/21","","","",104100019
"50664","20/21","","","",104100019
"50665","20/21","","","",104100019
"50666","20/21","","","",104100019
"50667","20/21","","","",104100019
"51171","20/21","","","",104200020
"51175","20/21","","","",104200020
"51182","20/21","","","",104200020
"51186","20/21","","","",104200020
"51198","20/21","","","",104200020
"51031","20/21","","","",104200020
"51050","20/21","","","",104200020
"50999","20/21","","","",104100021
"51007","20/21","","","",104100021
"51009","20/21","","","",104100021
"51011","20/21","","","",104100021
"51015","20/21","","","",104100021
"51025","20/21","","","",104100021
"51024","20/21","","","",104100021
"51005","20/21","","","",104100021
"51022","20/21","","","",104100021
"51018","20/21","","","",104100021
"51138","20/21","","","",104200022
"51139","20/21","","","",104200022
"51140","20/21","","","",104200022
"51141","20/21","","","",104200022
"51142","20/21","","","",104200022
"51143","20/21","","","",104200022
"51144","20/21","","","",104200022
"51145","20/21","","","",104200022
"51146","20/21","","","",104200022
"51147","20/21","","","",104200022
"51138","20/21","","","",104200023
"51139","20/21","","","",104200023
"51140","20/21","","","",104200023
"51141","20/21","","","",104200023
"51142","20/21","","","",104200023
"51143","20/21","","","",104200023
"51144","20/21","","","",104200023
"51145","20/21","","","",104200023
"51146","20/21","","","",104200023
"51147","20/21","","","",104200023
"50659","20/21","","","",104100024
"50660","20/21","","","",104100024
"50661","20/21","","","",104100024
"50663","20/21","","","",104100024
"50664","20/21","","","",104100024
"50994","20/21","","","",104100024
"50996","20/21","","","",104100024
"50997","20/21","","","",104100024
"51002","20/21","","","",104100024
"51003","20/21","","","",104100024
"53008","20/21","","","",105600025
"53009","20/21","","","",105600025
